"species","Group","Treatment","quad","year","cover"
"Poa secunda","E1","Irrigation","Q45",2012,0.0075
"Pseudoroegneria spicata","E1","Irrigation","Q45",2012,3.76098397
"Artemisia tripartita","E1","Drought","Q46",2012,9.36623504
"Hesperostipa comata","E1","Drought","Q46",2012,0.06605736
"Poa secunda","E1","Drought","Q46",2012,0.08644785
"Pseudoroegneria spicata","E1","Drought","Q46",2012,0.1479617370088
"Artemisia tripartita","E1","Control","Q5",2012,0
"Hesperostipa comata","E1","Control","Q5",2012,0
"Poa secunda","E1","Control","Q5",2012,0.21526055
"Pseudoroegneria spicata","E1","Control","Q5",2012,2.5582973
"Artemisia tripartita","E1","Control","Q6",2012,0
"Hesperostipa comata","E1","Control","Q6",2012,0
"Poa secunda","E1","Control","Q6",2012,4.6747454087007
"Pseudoroegneria spicata","E1","Control","Q6",2012,2.3506815230247
"Artemisia tripartita","E1","Control","Q1",2013,0
"Hesperostipa comata","E1","Control","Q1",2013,4.63227146
"Poa secunda","E1","Control","Q1",2013,0.43015659
"Pseudoroegneria spicata","E1","Control","Q1",2013,1.96778258
"Artemisia tripartita","P7E1","Control","Q19",2013,11.6197629
"Hesperostipa comata","P7E1","Control","Q19",2013,2.81750965
"Poa secunda","P7E1","Control","Q19",2013,1.9193375953124
"Pseudoroegneria spicata","P7E1","Control","Q19",2013,1.4152487754131
"Artemisia tripartita","E1","Control","Q2",2013,36.33845665
"Hesperostipa comata","E1","Control","Q2",2013,0
"Poa secunda","E1","Control","Q2",2013,4.64136653
"Pseudoroegneria spicata","E1","Control","Q2",2013,1.5557540004801
"Artemisia tripartita","P7E1","Control","Q20",2013,22.85490428
"Hesperostipa comata","P7E1","Control","Q20",2013,1.5718046174912
"Poa secunda","P7E1","Control","Q20",2013,4.1232775035912
"Pseudoroegneria spicata","P7E1","Control","Q20",2013,1.129613385
"Artemisia tripartita","P7E1","Control","Q21",2013,0
"Hesperostipa comata","P7E1","Control","Q21",2013,0.2021915521736
"Poa secunda","P7E1","Control","Q21",2013,2.2802856332153
"Pseudoroegneria spicata","P7E1","Control","Q21",2013,0.06661624
"Artemisia tripartita","P7E1","Control","Q22",2013,0
"Hesperostipa comata","P7E1","Control","Q22",2013,2.7470939502392
"Poa secunda","P7E1","Control","Q22",2013,4.1706545210507
"Pseudoroegneria spicata","P7E1","Control","Q22",2013,2.6986177407817
"Artemisia tripartita","P10E1","Control","Q23",2013,0.63241838
"Hesperostipa comata","P10E1","Control","Q23",2013,2.17836852
"Poa secunda","P10E1","Control","Q23",2013,10.46646008751
"Pseudoroegneria spicata","P10E1","Control","Q23",2013,1.4947120314493
"Artemisia tripartita","P10E1","Control","Q24",2013,11.21189415
"Hesperostipa comata","P10E1","Control","Q24",2013,0.37936135
"Poa secunda","P10E1","Control","Q24",2013,2.6135786215605
"Pseudoroegneria spicata","P10E1","Control","Q24",2013,0.8729421468355
"Artemisia tripartita","P10E1","Control","Q25",2013,20.90484822
"Hesperostipa comata","P10E1","Control","Q25",2013,0
"Poa secunda","P10E1","Control","Q25",2013,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2013,0.62613702
"Artemisia tripartita","P10E1","Control","Q26",2013,27.4886479
"Hesperostipa comata","P10E1","Control","Q26",2013,0
"Poa secunda","P10E1","Control","Q26",2013,2.16751468
"Pseudoroegneria spicata","P10E1","Control","Q26",2013,3.58647923
"Artemisia tripartita","E1","Irrigation","Q27",2013,0
"Hesperostipa comata","E1","Irrigation","Q27",2013,0
"Poa secunda","E1","Irrigation","Q27",2013,2.53090165
"Pseudoroegneria spicata","E1","Irrigation","Q27",2013,2.8715737217708
"Artemisia tripartita","E1","Drought","Q28",2013,0
"Hesperostipa comata","E1","Drought","Q28",2013,0
"Poa secunda","E1","Drought","Q28",2013,0.67930992
"Pseudoroegneria spicata","E1","Drought","Q28",2013,3.84053243
"Artemisia tripartita","E1","Control","Q3",2013,44.019829
"Hesperostipa comata","E1","Control","Q3",2013,0
"Poa secunda","E1","Control","Q3",2013,1.2144702075347
"Pseudoroegneria spicata","E1","Control","Q3",2013,1.82187747
"Artemisia tripartita","E1","Drought","Q31",2013,26.72788105
"Hesperostipa comata","E1","Drought","Q31",2013,0
"Poa secunda","E1","Drought","Q31",2013,0.05759007
"Pseudoroegneria spicata","E1","Drought","Q31",2013,2.66496028
"Artemisia tripartita","E1","Irrigation","Q32",2013,25.41813546
"Hesperostipa comata","E1","Irrigation","Q32",2013,1.76361469
"Poa secunda","E1","Irrigation","Q32",2013,1.46269496
"Pseudoroegneria spicata","E1","Irrigation","Q32",2013,0
"Artemisia tripartita","E1","Irrigation","Q33",2013,54.07798878
"Hesperostipa comata","E1","Irrigation","Q33",2013,0
"Poa secunda","E1","Irrigation","Q33",2013,5.27270609
"Pseudoroegneria spicata","E1","Irrigation","Q33",2013,0.130012195
"Artemisia tripartita","E1","Drought","Q34",2013,0
"Hesperostipa comata","E1","Drought","Q34",2013,0
"Poa secunda","E1","Drought","Q34",2013,0.09002322
"Pseudoroegneria spicata","E1","Drought","Q34",2013,2.34119001
"Artemisia tripartita","E1","Drought","Q37",2013,0
"Hesperostipa comata","E1","Drought","Q37",2013,0
"Poa secunda","E1","Drought","Q37",2013,0.06287114
"Pseudoroegneria spicata","E1","Drought","Q37",2013,2.13031255
"Artemisia tripartita","E1","Irrigation","Q38",2013,0
"Hesperostipa comata","E1","Irrigation","Q38",2013,0.62967059
"Poa secunda","E1","Irrigation","Q38",2013,0.0025
"Pseudoroegneria spicata","E1","Irrigation","Q38",2013,0.3141170660817
"Artemisia tripartita","E1","Drought","Q39",2013,58.92734121
"Hesperostipa comata","E1","Drought","Q39",2013,0.000168016671
"Poa secunda","E1","Drought","Q39",2013,3.6795003752433
"Pseudoroegneria spicata","E1","Drought","Q39",2013,1.714410281296
"Artemisia tripartita","E1","Control","Q4",2013,25.20043833
"Hesperostipa comata","E1","Control","Q4",2013,0.2716517
"Poa secunda","E1","Control","Q4",2013,4.7701623383074
"Pseudoroegneria spicata","E1","Control","Q4",2013,1.3159333571409
"Artemisia tripartita","E1","Irrigation","Q40",2013,14.59379763
"Hesperostipa comata","E1","Irrigation","Q40",2013,0
"Poa secunda","E1","Irrigation","Q40",2013,0.8536955558251
"Pseudoroegneria spicata","E1","Irrigation","Q40",2013,4.0549106208848
"Artemisia tripartita","E1","Drought","Q41",2013,14.97370593
"Hesperostipa comata","E1","Drought","Q41",2013,0.1702111
"Poa secunda","E1","Drought","Q41",2013,0.42536455
"Pseudoroegneria spicata","E1","Drought","Q41",2013,2.60710437
"Artemisia tripartita","E1","Irrigation","Q42",2013,0
"Hesperostipa comata","E1","Irrigation","Q42",2013,0.94177417
"Poa secunda","E1","Irrigation","Q42",2013,0.13554523
"Pseudoroegneria spicata","E1","Irrigation","Q42",2013,0.0025
"Artemisia tripartita","E1","Drought","Q43",2013,1.55345524
"Hesperostipa comata","E1","Drought","Q43",2013,0
"Poa secunda","E1","Drought","Q43",2013,0.66896555
"Pseudoroegneria spicata","E1","Drought","Q43",2013,2.44735705
"Artemisia tripartita","E1","Irrigation","Q44",2013,2.21517265
"Hesperostipa comata","E1","Irrigation","Q44",2013,0
"Poa secunda","E1","Irrigation","Q44",2013,4.4879630552863
"Pseudoroegneria spicata","E1","Irrigation","Q44",2013,5.791117846579
"Artemisia tripartita","E1","Irrigation","Q45",2013,36.62315518
"Hesperostipa comata","E1","Irrigation","Q45",2013,0.10831281
"Poa secunda","E1","Irrigation","Q45",2013,0.0025
"Pseudoroegneria spicata","E1","Irrigation","Q45",2013,6.56783172
"Artemisia tripartita","E1","Drought","Q46",2013,10.78890169
"Hesperostipa comata","E1","Drought","Q46",2013,0.02184768
"Poa secunda","E1","Drought","Q46",2013,0.24247669
"Pseudoroegneria spicata","E1","Drought","Q46",2013,0.20186029
"Artemisia tripartita","E1","Control","Q5",2013,0
"Hesperostipa comata","E1","Control","Q5",2013,0
"Poa secunda","E1","Control","Q5",2013,0.67267052
"Pseudoroegneria spicata","E1","Control","Q5",2013,3.21621492
"Artemisia tripartita","E1","Control","Q6",2013,0
"Hesperostipa comata","E1","Control","Q6",2013,0
"Poa secunda","E1","Control","Q6",2013,5.27829937
"Pseudoroegneria spicata","E1","Control","Q6",2013,2.40710435
"Artemisia tripartita","E1","Control","Q1",2014,0.27524941
"Hesperostipa comata","E1","Control","Q1",2014,3.13027772
"Poa secunda","E1","Control","Q1",2014,0.59462338
"Pseudoroegneria spicata","E1","Control","Q1",2014,1.26130998
"Artemisia tripartita","P7E1","Control","Q19",2014,13.28611581
"Hesperostipa comata","P7E1","Control","Q19",2014,4.34959571
"Poa secunda","P7E1","Control","Q19",2014,2.8541320931047
"Pseudoroegneria spicata","P7E1","Control","Q19",2014,3.11517765
"Artemisia tripartita","E1","Control","Q2",2014,35.34067447
"Hesperostipa comata","E1","Control","Q2",2014,0
"Poa secunda","E1","Control","Q2",2014,2.60597263
"Pseudoroegneria spicata","E1","Control","Q2",2014,1.54011985
"Artemisia tripartita","P7E1","Control","Q20",2014,25.25325408
"Hesperostipa comata","P7E1","Control","Q20",2014,0.81858651
"Poa secunda","P7E1","Control","Q20",2014,4.8206693877734
"Pseudoroegneria spicata","P7E1","Control","Q20",2014,1.0772092454907
"Artemisia tripartita","P7E1","Control","Q21",2014,0.03311305
"Hesperostipa comata","P7E1","Control","Q21",2014,0.2204281275914
"Poa secunda","P7E1","Control","Q21",2014,1.1828243474307
"Pseudoroegneria spicata","P7E1","Control","Q21",2014,0
"Artemisia tripartita","P7E1","Control","Q22",2014,0
"Hesperostipa comata","P7E1","Control","Q22",2014,5.7688924994051
"Poa secunda","P7E1","Control","Q22",2014,3.74538713
"Pseudoroegneria spicata","P7E1","Control","Q22",2014,3.2650561684656
"Artemisia tripartita","P10E1","Control","Q23",2014,1.0195289
"Hesperostipa comata","P10E1","Control","Q23",2014,4.61368417
"Poa secunda","P10E1","Control","Q23",2014,5.63799268
"Pseudoroegneria spicata","P10E1","Control","Q23",2014,3.2983099021232
"Artemisia tripartita","P10E1","Control","Q24",2014,15.68279523
"Hesperostipa comata","P10E1","Control","Q24",2014,0.83553053
"Poa secunda","P10E1","Control","Q24",2014,3.93177088
"Pseudoroegneria spicata","P10E1","Control","Q24",2014,1.407064
"Artemisia tripartita","P10E1","Control","Q25",2014,14.71560622
"Hesperostipa comata","P10E1","Control","Q25",2014,0
"Poa secunda","P10E1","Control","Q25",2014,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2014,0.76563606
"Artemisia tripartita","P10E1","Control","Q26",2014,19.94290025
"Hesperostipa comata","P10E1","Control","Q26",2014,0
"Poa secunda","P10E1","Control","Q26",2014,1.99058734
"Pseudoroegneria spicata","P10E1","Control","Q26",2014,3.77097512
"Artemisia tripartita","E1","Irrigation","Q27",2014,0
"Hesperostipa comata","E1","Irrigation","Q27",2014,0
"Poa secunda","E1","Irrigation","Q27",2014,1.25606325
"Pseudoroegneria spicata","E1","Irrigation","Q27",2014,2.218588595
"Artemisia tripartita","E1","Drought","Q28",2014,0
"Hesperostipa comata","E1","Drought","Q28",2014,0.03829595
"Poa secunda","E1","Drought","Q28",2014,0.41376261
"Pseudoroegneria spicata","E1","Drought","Q28",2014,4.98077438
"Artemisia tripartita","E1","Control","Q3",2014,39.91437044
"Hesperostipa comata","E1","Control","Q3",2014,0.10858134
"Poa secunda","E1","Control","Q3",2014,0.86618674
"Pseudoroegneria spicata","E1","Control","Q3",2014,2.21755362
"Artemisia tripartita","E1","Drought","Q31",2014,19.78135314
"Hesperostipa comata","E1","Drought","Q31",2014,0
"Poa secunda","E1","Drought","Q31",2014,0
"Pseudoroegneria spicata","E1","Drought","Q31",2014,2.20216167
"Artemisia tripartita","E1","Irrigation","Q32",2014,22.01630843
"Hesperostipa comata","E1","Irrigation","Q32",2014,3.07784064
"Poa secunda","E1","Irrigation","Q32",2014,2.90802164
"Pseudoroegneria spicata","E1","Irrigation","Q32",2014,0.0025
"Artemisia tripartita","E1","Irrigation","Q33",2014,62.60487138
"Hesperostipa comata","E1","Irrigation","Q33",2014,0
"Poa secunda","E1","Irrigation","Q33",2014,3.92874827
"Pseudoroegneria spicata","E1","Irrigation","Q33",2014,0.15864023
"Artemisia tripartita","E1","Drought","Q34",2014,0
"Hesperostipa comata","E1","Drought","Q34",2014,0
"Poa secunda","E1","Drought","Q34",2014,0
"Pseudoroegneria spicata","E1","Drought","Q34",2014,0.56887277
"Artemisia tripartita","E1","Drought","Q37",2014,0
"Hesperostipa comata","E1","Drought","Q37",2014,0
"Poa secunda","E1","Drought","Q37",2014,0.005
"Pseudoroegneria spicata","E1","Drought","Q37",2014,1.14904608
"Artemisia tripartita","E1","Irrigation","Q38",2014,0
"Hesperostipa comata","E1","Irrigation","Q38",2014,1.16394561
"Poa secunda","E1","Irrigation","Q38",2014,0.0025
"Pseudoroegneria spicata","E1","Irrigation","Q38",2014,0.32074994
"Artemisia tripartita","E1","Drought","Q39",2014,39.7233396
"Hesperostipa comata","E1","Drought","Q39",2014,0
"Poa secunda","E1","Drought","Q39",2014,1.93258361
"Pseudoroegneria spicata","E1","Drought","Q39",2014,1.6342033479533
"Artemisia tripartita","E1","Control","Q4",2014,21.53991111
"Hesperostipa comata","E1","Control","Q4",2014,0.39577445
"Poa secunda","E1","Control","Q4",2014,1.76378888
"Pseudoroegneria spicata","E1","Control","Q4",2014,1.6730541
"Artemisia tripartita","E1","Irrigation","Q40",2014,15.25461316
"Hesperostipa comata","E1","Irrigation","Q40",2014,0
"Poa secunda","E1","Irrigation","Q40",2014,1.32236478
"Pseudoroegneria spicata","E1","Irrigation","Q40",2014,2.73209897
"Artemisia tripartita","E1","Drought","Q41",2014,13.03490335
"Hesperostipa comata","E1","Drought","Q41",2014,0.13970288
"Poa secunda","E1","Drought","Q41",2014,0
"Pseudoroegneria spicata","E1","Drought","Q41",2014,0.26571632
"Artemisia tripartita","E1","Irrigation","Q42",2014,0
"Hesperostipa comata","E1","Irrigation","Q42",2014,1.08774195
"Poa secunda","E1","Irrigation","Q42",2014,0.04519864
"Pseudoroegneria spicata","E1","Irrigation","Q42",2014,0.01
"Artemisia tripartita","E1","Drought","Q43",2014,3.44241425
"Hesperostipa comata","E1","Drought","Q43",2014,0
"Poa secunda","E1","Drought","Q43",2014,1.0901516
"Pseudoroegneria spicata","E1","Drought","Q43",2014,4.62241568
"Artemisia tripartita","E1","Irrigation","Q44",2014,3.67389033
"Hesperostipa comata","E1","Irrigation","Q44",2014,0
"Poa secunda","E1","Irrigation","Q44",2014,4.9785159
"Pseudoroegneria spicata","E1","Irrigation","Q44",2014,3.5892517
"Artemisia tripartita","E1","Irrigation","Q45",2014,29.03854485
"Hesperostipa comata","E1","Irrigation","Q45",2014,0.03403624
"Poa secunda","E1","Irrigation","Q45",2014,0
"Pseudoroegneria spicata","E1","Irrigation","Q45",2014,5.43669918
"Artemisia tripartita","E1","Drought","Q46",2014,14.26003419
"Hesperostipa comata","E1","Drought","Q46",2014,0.15090315
"Poa secunda","E1","Drought","Q46",2014,0.17358963
"Pseudoroegneria spicata","E1","Drought","Q46",2014,0.22806936
"Artemisia tripartita","E1","Control","Q5",2014,0
"Hesperostipa comata","E1","Control","Q5",2014,0
"Poa secunda","E1","Control","Q5",2014,0.09989209
"Pseudoroegneria spicata","E1","Control","Q5",2014,4.4615407380499
"Artemisia tripartita","E1","Control","Q6",2014,0
"Hesperostipa comata","E1","Control","Q6",2014,0
"Poa secunda","E1","Control","Q6",2014,3.52423586
"Pseudoroegneria spicata","E1","Control","Q6",2014,1.686725835
"Artemisia tripartita","E1","Control","Q1",2015,0.27048966
"Hesperostipa comata","E1","Control","Q1",2015,2.31047153
"Poa secunda","E1","Control","Q1",2015,0.78169993
"Pseudoroegneria spicata","E1","Control","Q1",2015,1.21288418
"Artemisia tripartita","P7E1","Control","Q19",2015,14.67386342
"Hesperostipa comata","P7E1","Control","Q19",2015,2.7504520100919
"Poa secunda","P7E1","Control","Q19",2015,1.56408577
"Pseudoroegneria spicata","P7E1","Control","Q19",2015,1.25829392
"Artemisia tripartita","E1","Control","Q2",2015,42.66106194
"Hesperostipa comata","E1","Control","Q2",2015,0
"Poa secunda","E1","Control","Q2",2015,1.13305729
"Pseudoroegneria spicata","E1","Control","Q2",2015,0.41411112
"Artemisia tripartita","P7E1","Control","Q20",2015,25.84092456
"Hesperostipa comata","P7E1","Control","Q20",2015,0.45523465
"Poa secunda","P7E1","Control","Q20",2015,1.63178171
"Pseudoroegneria spicata","P7E1","Control","Q20",2015,0.30084378
"Artemisia tripartita","P7E1","Control","Q21",2015,0.49093987
"Hesperostipa comata","P7E1","Control","Q21",2015,0.55746034
"Poa secunda","P7E1","Control","Q21",2015,0.85455243
"Pseudoroegneria spicata","P7E1","Control","Q21",2015,0
"Artemisia tripartita","P7E1","Control","Q22",2015,0
"Hesperostipa comata","P7E1","Control","Q22",2015,1.6877576500271
"Poa secunda","P7E1","Control","Q22",2015,1.12315052
"Pseudoroegneria spicata","P7E1","Control","Q22",2015,1.08661484
"Artemisia tripartita","P10E1","Control","Q23",2015,0.44775826
"Hesperostipa comata","P10E1","Control","Q23",2015,3.192403355
"Poa secunda","P10E1","Control","Q23",2015,0.235644325
"Pseudoroegneria spicata","P10E1","Control","Q23",2015,0.85557914
"Artemisia tripartita","P10E1","Control","Q24",2015,9.53575762
"Hesperostipa comata","P10E1","Control","Q24",2015,0.2137877855243
"Poa secunda","P10E1","Control","Q24",2015,1.80858189
"Pseudoroegneria spicata","P10E1","Control","Q24",2015,0.5394513
"Artemisia tripartita","P10E1","Control","Q25",2015,15.55921822
"Hesperostipa comata","P10E1","Control","Q25",2015,0
"Poa secunda","P10E1","Control","Q25",2015,0
"Pseudoroegneria spicata","P10E1","Control","Q25",2015,0.62379579
"Artemisia tripartita","P10E1","Control","Q26",2015,22.15570148
"Hesperostipa comata","P10E1","Control","Q26",2015,0
"Poa secunda","P10E1","Control","Q26",2015,3.19959931
"Pseudoroegneria spicata","P10E1","Control","Q26",2015,3.79554439
"Artemisia tripartita","E1","Irrigation","Q27",2015,0
"Hesperostipa comata","E1","Irrigation","Q27",2015,0
"Poa secunda","E1","Irrigation","Q27",2015,0.79734031
"Pseudoroegneria spicata","E1","Irrigation","Q27",2015,2.11196164
"Artemisia tripartita","E1","Drought","Q28",2015,0
"Hesperostipa comata","E1","Drought","Q28",2015,0.015
"Poa secunda","E1","Drought","Q28",2015,0.3015842576134
"Pseudoroegneria spicata","E1","Drought","Q28",2015,1.54170044
"Artemisia tripartita","E1","Control","Q3",2015,37.56591486
"Hesperostipa comata","E1","Control","Q3",2015,0
"Poa secunda","E1","Control","Q3",2015,0.40572114
"Pseudoroegneria spicata","E1","Control","Q3",2015,1.48439888
"Artemisia tripartita","E1","Drought","Q31",2015,27.10446763
"Hesperostipa comata","E1","Drought","Q31",2015,0.0075
"Poa secunda","E1","Drought","Q31",2015,0.07531004
"Pseudoroegneria spicata","E1","Drought","Q31",2015,1.04712851
"Artemisia tripartita","E1","Irrigation","Q32",2015,19.73880394
"Hesperostipa comata","E1","Irrigation","Q32",2015,1.73468348
"Poa secunda","E1","Irrigation","Q32",2015,1.7448766979353
"Pseudoroegneria spicata","E1","Irrigation","Q32",2015,0
"Artemisia tripartita","E1","Irrigation","Q33",2015,56.50997446
"Hesperostipa comata","E1","Irrigation","Q33",2015,0
"Poa secunda","E1","Irrigation","Q33",2015,3.715608878669
"Pseudoroegneria spicata","E1","Irrigation","Q33",2015,0.26306207
"Artemisia tripartita","E1","Drought","Q34",2015,0
"Hesperostipa comata","E1","Drought","Q34",2015,0
"Poa secunda","E1","Drought","Q34",2015,0.1368912
"Pseudoroegneria spicata","E1","Drought","Q34",2015,0.3616581
"Artemisia tripartita","E1","Drought","Q37",2015,0
"Hesperostipa comata","E1","Drought","Q37",2015,0.0025
"Poa secunda","E1","Drought","Q37",2015,0
"Pseudoroegneria spicata","E1","Drought","Q37",2015,0.72333739
"Artemisia tripartita","E1","Irrigation","Q38",2015,0
"Hesperostipa comata","E1","Irrigation","Q38",2015,1.88671863
"Poa secunda","E1","Irrigation","Q38",2015,0.07881517
"Pseudoroegneria spicata","E1","Irrigation","Q38",2015,0.08839217
"Artemisia tripartita","E1","Drought","Q39",2015,22.68345749
"Hesperostipa comata","E1","Drought","Q39",2015,0
"Poa secunda","E1","Drought","Q39",2015,0.32254017
"Pseudoroegneria spicata","E1","Drought","Q39",2015,0.62542064
"Artemisia tripartita","E1","Control","Q4",2015,22.65019642
"Hesperostipa comata","E1","Control","Q4",2015,0.62716701
"Poa secunda","E1","Control","Q4",2015,1.4022894876391
"Pseudoroegneria spicata","E1","Control","Q4",2015,1.57768486
"Artemisia tripartita","E1","Irrigation","Q40",2015,19.58232949
"Hesperostipa comata","E1","Irrigation","Q40",2015,0
"Poa secunda","E1","Irrigation","Q40",2015,1.09940991
"Pseudoroegneria spicata","E1","Irrigation","Q40",2015,1.892175147258
"Artemisia tripartita","E1","Drought","Q41",2015,9.08171472
"Hesperostipa comata","E1","Drought","Q41",2015,0.0075
"Poa secunda","E1","Drought","Q41",2015,0.0025
"Pseudoroegneria spicata","E1","Drought","Q41",2015,0.28796434
"Artemisia tripartita","E1","Irrigation","Q42",2015,0
"Hesperostipa comata","E1","Irrigation","Q42",2015,0.89691213
"Poa secunda","E1","Irrigation","Q42",2015,0.03971361
"Pseudoroegneria spicata","E1","Irrigation","Q42",2015,0
"Artemisia tripartita","E1","Drought","Q43",2015,4.49142932
"Hesperostipa comata","E1","Drought","Q43",2015,0
"Poa secunda","E1","Drought","Q43",2015,0.77487478
"Pseudoroegneria spicata","E1","Drought","Q43",2015,0.92797857
"Artemisia tripartita","E1","Irrigation","Q44",2015,3.65298965
"Hesperostipa comata","E1","Irrigation","Q44",2015,0
"Poa secunda","E1","Irrigation","Q44",2015,2.67080311
"Pseudoroegneria spicata","E1","Irrigation","Q44",2015,2.83016948
"Artemisia tripartita","E1","Irrigation","Q45",2015,31.24885083
"Hesperostipa comata","E1","Irrigation","Q45",2015,0
"Poa secunda","E1","Irrigation","Q45",2015,0.0075
"Pseudoroegneria spicata","E1","Irrigation","Q45",2015,2.18105586
"Artemisia tripartita","E1","Drought","Q46",2015,18.82922395
"Hesperostipa comata","E1","Drought","Q46",2015,0.04211318
"Poa secunda","E1","Drought","Q46",2015,0.15306509
"Pseudoroegneria spicata","E1","Drought","Q46",2015,0.06882647
"Artemisia tripartita","E1","Control","Q5",2015,0
"Hesperostipa comata","E1","Control","Q5",2015,0
"Poa secunda","E1","Control","Q5",2015,0.08148976
"Pseudoroegneria spicata","E1","Control","Q5",2015,5.98866244
"Artemisia tripartita","E1","Control","Q6",2015,0
"Hesperostipa comata","E1","Control","Q6",2015,0
"Poa secunda","E1","Control","Q6",2015,4.31962702
"Pseudoroegneria spicata","E1","Control","Q6",2015,1.46149815
